,주요 참여 활동(중복응답)B-H,,,,,,,방문 선택시 고려요인(중복응답)I-V,,,,,,,,,,,,,,방한횟수W-Z,,,,여행 유형AA-AC,,,전반적인 만족도(매우만족의 상대적인 정도),향후 3년 내 관광목적 재방문 의향(매우 그렇다의 상대적인 정도),가장 좋았던 활동AF-AW,,,,,,,,,,,,,,,,,
기간,쇼핑,식도락_관광,자연경관_감상,고궁_역사유적_방문,박물관_전시관.방문,테마파크,업무수행,휴양휴식,유흥_오락,뷰티관광,쇼핑.1,음식_미식탐방,자연풍경감상,역사_문화유적,패션_유행_.등_.세련된_문화,K.POP_한류스타_팬미팅,경제적인_여행비용,유흥_놀이시설,숙박시설_편리한.교통,이미용_서비스,기후_뚜렷한_사계절,X1회,X2회,X3회,X4회이상,개별여행,단체여행,Air.tel.Tour.항공호텔패키지여행.,카테고리,카테고리.1,식도락_관광.1,쇼핑.2,자연경관_감상.1,업무수행.1,고궁_역사유적_방문.1,공연_민속행사_축제참가_및_관람,전통문화체험,테마파크.1,유흥_오락.1,박물관_전시관_방문,연수_교육_연구,스포츠활동,휴양_휴식,시티투어_버스_이용,뷰티관광.1,의료관광,레포츠활동,시찰.산업시설등.
201401,547,295,167,171,65,44,130,62,59,22,511,303,299,166,128,89,45,80,22,23,70,267,74,35,89,533,113,70,보통,보통,63,256,57,61,57,29,9,13,17,17,13,37,16,11,9,5,5,1
201402,574,304,231,178,96,55,138,58,53,32,577,324,334,204,101,49,69,65,32,23,57,325,56,37,99,553,149,70,높음,높음,76,295,67,79,55,17,12,17,15,22,12,21,17,11,8,2,6,0
201403,693,464,306,292,57,58,179,63,83,34,666,411,453,251,194,95,86,90,23,20,59,412,97,46,115,680,198,90,보통,보통,94,337,123,88,98,57,10,22,20,8,14,4,13,9,6,3,7,3
201404,788,496,359,366,76,63,136,76,78,32,778,378,570,266,187,57,102,65,37,30,58,521,92,40,103,727,262,71,낮음,보통,99,391,135,61,105,30,11,20,23,14,14,7,22,16,16,3,16,2
201405,750,532,345,317,73,85,176,59,103,30,776,421,507,325,209,83,121,90,28,26,32,463,111,45,104,721,246,75,보통,보통,134,336,142,107,73,32,10,24,38,23,14,6,19,13,4,5,5,4
201406,776,500,352,300,93,77,132,71,86,25,706,419,499,282,202,52,84,114,22,20,40,489,87,40,100,708,235,79,낮음,낮음,102,405,132,50,77,18,20,30,24,20,21,6,15,16,6,4,12,6
201407,837,561,372,277,146,126,127,107,123,38,759,528,549,243,373,57,91,127,21,36,54,599,83,46,99,699,368,57,높음,낮음,127,363,133,72,49,60,16,75,42,17,29,4,26,8,6,3,10,2
201408,911,597,460,326,124,160,116,76,141,38,879,417,693,291,274,68,154,121,33,21,34,591,108,69,109,818,360,35,낮음,낮음,159,380,215,61,64,27,13,67,59,11,12,5,12,17,13,2,2,2
201409,795,489,292,246,87,137,149,77,89,26,816,490,493,243,199,74,85,127,22,15,55,452,97,62,121,731,256,62,높음,높음,98,389,97,82,79,39,27,45,25,17,12,3,17,14,11,8,14,0
201410,809,522,356,313,77,83,188,75,87,36,852,414,610,255,185,50,90,54,36,44,88,520,99,45,126,815,276,42,보통,보통,100,392,148,102,107,22,22,29,22,9,26,11,18,12,17,6,15,8
201411,693,413,295,267,71,72,183,73,77,45,673,422,517,289,146,56,88,61,28,27,70,383,90,47,125,658,254,59,보통,보통,84,282,140,94,85,33,20,26,26,13,16,9,22,15,12,15,5,5
201412,726,408,278,223,100,111,72,91,122,29,700,410,426,216,165,60,110,119,14,20,114,471,86,40,96,642,278,31,높음,높음,97,306,101,28,55,33,26,32,36,14,28,39,24,20,11,8,12,2
201501,654,393,321,210,77,78,176,76,84,19,632,364,464,251,171,64,136,112,25,11,52,339,102,38,130,547,312,64,보통,낮음,93,258,164,90,58,30,13,29,22,12,11,32,22,12,5,4,6,4
201502,817,504,288,314,136,112,97,68,101,42,690,416,473,265,197,48,111,153,30,27,76,504,123,55,140,622,373,66,낮음,낮음,106,338,125,67,85,37,13,50,29,14,17,60,25,8,18,4,10,1
201503,932,618,394,357,106,92,142,68,147,42,926,553,603,430,233,89,88,111,21,32,98,552,123,81,174,754,380,104,보통,보통,189,365,209,80,85,46,22,35,35,15,11,5,14,27,16,7,11,5
201504,1051,691,497,371,139,109,164,94,131,42,969,526,677,439,338,91,125,158,34,30,116,612,146,82,189,816,463,85,낮음,낮음,166,380,200,86,124,60,18,44,41,35,12,7,23,33,19,7,14,5
201505,971,648,407,382,147,135,147,83,135,33,941,574,579,323,392,106,91,129,39,42,88,528,213,91,166,786,432,97,낮음,보통,214,365,156,64,122,63,30,45,49,14,26,3,22,30,9,8,9,8
201506,409,329,201,159,57,28,116,47,89,18,435,326,283,187,160,70,33,77,24,17,38,162,68,25,77,603,36,37,보통,보통,110,160,90,47,49,21,18,14,18,16,26,4,10,17,7,5,11,7
201507,342,221,186,131,71,40,108,59,95,19,340,186,269,144,127,65,46,48,27,15,56,143,42,38,81,506,52,26,높음,높음,67,135,63,47,41,16,18,25,32,21,13,8,11,18,4,6,18,6
201508,640,446,278,198,136,89,120,96,128,24,599,436,399,277,229,119,89,127,35,9,92,313,109,54,167,736,227,38,높음,높음,129,231,126,51,64,58,31,37,36,42,21,5,24,26,2,8,19,3
201509,802,587,289,286,137,97,153,74,172,54,710,519,490,355,291,83,106,101,37,18,90,398,133,57,188,857,258,37,보통,보통,172,332,118,63,98,48,23,29,47,31,14,2,18,20,16,9,13,6
201510,962,637,369,368,132,137,183,89,131,43,897,609,577,340,353,113,143,101,73,35,119,443,149,57,225,964,311,60,보통,높음,212,361,183,68,99,60,37,53,37,37,15,3,23,17,9,5,15,7
201511,843,523,349,327,108,53,164,88,147,49,803,510,510,307,257,70,116,83,51,45,112,386,107,53,182,795,255,79,높음,보통,162,356,159,78,87,35,15,17,44,16,15,5,14,16,12,6,11,7
201512,783,501,285,275,108,98,95,134,174,49,755,496,426,224,297,89,108,84,45,50,154,408,115,62,185,765,278,65,보통,보통,154,326,103,41,74,53,26,35,41,19,27,51,31,14,9,6,18,6
201601,587,379,179,196,80,67,101,50,127,30,533,354,285,160,187,39,109,86,32,19,74,355,70,35,100,440,272,47,보통,보통,111,265,60,58,49,17,11,23,27,16,9,39,11,7,8,4,4,2
201602,608,412,186,159,69,81,94,66,117,43,552,371,291,155,217,69,116,72,33,17,71,352,69,32,126,513,230,53,높음,높음,132,249,57,45,51,31,24,22,32,17,11,26,16,8,7,2,10,3
201603,727,471,247,249,110,101,134,77,140,34,667,404,350,253,266,96,87,79,31,31,108,404,92,61,170,648,237,93,버텅,보통,166,288,88,70,78,43,21,36,35,24,8,6,13,10,10,6,7,4
