"","쇼핑","식도락_관광","자연경관_감상","고궁_역사유적_방문","박물관_전시관.방문","테마파크","업무수행"
"1",547,295,167,171,65,44,130
"2",574,304,231,178,96,55,138
"3",693,464,306,292,57,58,179
"4",788,496,359,366,76,63,136
"5",750,532,345,317,73,85,176
"6",776,500,352,300,93,77,132
"7",837,561,372,277,146,126,127
"8",911,597,460,326,124,160,116
"9",795,489,292,246,87,137,149
"10",809,522,356,313,77,83,188
"11",693,413,295,267,71,72,183
"12",726,408,278,223,100,111,72
"13",654,393,321,210,77,78,176
"14",817,504,288,314,136,112,97
"15",932,618,394,357,106,92,142
"16",1051,691,497,371,139,109,164
"17",971,648,407,382,147,135,147
"18",409,329,201,159,57,28,116
"19",342,221,186,131,71,40,108
"20",640,446,278,198,136,89,120
"21",802,587,289,286,137,97,153
"22",962,637,369,368,132,137,183
"23",843,523,349,327,108,53,164
"24",783,501,285,275,108,98,95
"25",587,379,179,196,80,67,101
"26",608,412,186,159,69,81,94
"27",727,471,247,249,110,101,134
"28",753,516,317,257,117,90,124
"29",789,533,271,317,107,112,137
"30",813,519,367,294,134,92,143
"31",945,658,330,234,116,188,104
"32",856,544,338,299,172,166,87
"33",808,553,366,273,93,87,117
"34",818,602,313,300,105,100,130
"35",648,476,272,203,87,94,115
"36",735,463,253,217,74,76,80
"37",1015,694,313,248,113,108,142
"38",1031,870,290,260,73,90,147
"39",966,772,356,288,94,103,168
"40",796,591,342,259,101,96,200
"41",708,540,279,245,73,73,141
"42",685,558,269,257,84,84,135
"43",703,586,227,247,85,94,154
"44",822,673,263,266,83,91,205
"45",773,701,276,237,81,68,212
"46",818,709,392,346,103,81,209
"47",835,696,282,292,70,83,175
"48",875,667,288,290,87,115,100
"49",926,719,447,331,140,155,204
"50",1067,803,620,454,216,198,163
"51",1391,1108,726,570,253,234,255
"52",1297,967,773,550,271,230,340
"53",1201,905,765,572,276,226,243
"54",1281,955,783,667,288,266,221
"55",1251,961,744,635,327,324,203
"56",1375,1082,791,651,326,346,239
"57",1272,998,769,593,278,236,243
"58",1500,1152,947,735,329,227,324
"59",1334,1052,798,636,245,255,248
"60",1346,1045,796,625,261,329,219
